10000
-338126	-671351
42592	-673492
959167	-682061
-566314	-667936
-76338	-568079
-454078	646243
515231	-442613
-237610	635128
480547	-225795
-876149	147023
697181	696266
322706	968575
228162	239580
-218917	-799816
-222170	-930461
-598477	899914
317716	-44137
710286	-861894
-755857	-261481
866216	-662692
-417247	194695
429389	838239
594843	211153
167282	-367793
576898	-399590
116594	-9486
914992	-190646
605048	-215451
560959	401252
-518985	915767
-184220	-293928
-472735	-750034
-249607	-959118
-210417	-376053
83508	483117
-341349	-92345
-884769	-438757
10278	881572
-585331	-683479
74588	905776
756109	-353712
-160998	-909547
-400496	-190696
436559	439070
-326546	-673750
460393	-140436
434834	775600
51961	936629
76818	-161384
877039	837016
-956021	-730364
952734	-805228
578063	-110664
-795922	855229
147767	392438
-604892	-240658
-253427	-578513
-172049	336487
-334523	844443
-815694	748410
540234	-434921
755539	41152
-595944	765858
-798232	-958755
286292	438752
-510766	693477
-859731	522773
-481380	768697
770191	-260761
383171	-789087
-451522	-877805
-297530	-639117
4076	-761139
-819694	645698
-484778	-473366
-421603	435913
666006	-33522
597797	626734
-221927	-565953
-729666	831439
840744	-528701
521192	577380
-540625	762632
-936200	127615
45374	-649762
-718275	-414338
31576	976620
-399431	33736
373560	-749744
976065	38251
598403	-60306
-513195	-157920
-271820	621780
648974	-54453
127397	260449
505001	-370880
345007	799453
-982485	472112
-454799	396850
896792	-458145
158294	942592
-782789	820092
6631	-274468
601351	380709
513586	970833
168749	618586
243950	682468
510431	496643
-136362	1797
-470683	577626
-183939	-425741
-693235	635837
-427114	325513
-283792	116904
-108547	-493353
-508429	185150
-881146	-129913
-98975	-316911
461719	-605727
797678	287267
-847207	273998
642452	-308092
673483	26927
-761793	314095
-436738	-510865
-603490	-920213
438618	471617
-436433	190236
389844	804452
-706312	473761
-381829	847045
-980353	388142
-307465	199163
949132	-586167
-995390	-194101
-419215	357485
580292	-113080
-710714	-381815
290804	-538401
-814378	424680
27415	867401
-693222	699823
190608	10940
226078	865893
212298	786889
736917	296289
-550479	-114738
119664	130383
604530	-639659
-14122	-830539
-593694	-706112
467464	-15582
-713340	586457
926101	904027
649208	401512
558913	-664684
-594042	-907801
972165	262520
702381	-194009
396561	-75826
-271626	-423177
510739	-872261
-253868	-527585
-10859	880868
-121433	101121
-990228	-189280
-360761	-6018
113516	-31278
-377210	-971644
-552183	945567
-79756	-132795
433078	264260
-122039	49169
-878955	453859
496194	-241157
926919	-965487
-539268	832128
318312	-230227
593389	-726334
169074	313294
-899144	130550
626590	604419
425119	555620
303383	-262837
-678441	799092
-943454	-850134
-345854	-117533
902168	172098
-298860	496536
892124	-783932
989781	607195
-835541	-44328
-100922	-927520
207046	-13530
349720	-172035
-397799	-846094
-298599	207636
955219	692000
868786	-124388
-453249	-806600
-623964	-696172
-909005	-850937
-31232	696250
-486964	439999
88908	366877
-23631	916139
-532536	408384
-732921	-852162
104331	-961832
440518	147020
-22121	-196584
485027	-638213
395762	-733127
-76194	-119342
-358176	885377
-9581	660183
292246	876075
494228	-827779
527792	-7385
-523186	-510641
977422	-951778
424820	878918
-746574	730217
648976	-445385
52363	181718
425186	984506
-642788	499392
107729	-974652
405573	240387
683004	-558688
733667	-742302
451462	304322
-617988	749028
237381	991821
-274220	-111043
714034	-359346
-424550	-569049
290240	121771
471362	-811030
-310143	-399620
-750142	-630825
830903	-878114
565194	-500121
-781461	-659543
312645	-368488
775800	-526751
-876588	394117
-173609	485667
780788	324176
907277	208647
-445750	-717509
-363676	156185
-585984	392000
-744897	276953
864205	428685
396863	-580727
-566584	-137106
196467	-619380
911963	-139682
233318	300138
-809488	-114187
-612637	-985593
753788	-922041
-528122	986919
722704	-285977
809122	-972072
369507	-487546
414392	644334
229216	-700222
402101	-275815
-85442	-439885
-464417	302285
499268	-791334
-705896	554574
674728	-422378
-639253	-208746
-236531	970362
247497	823431
78823	-714393
