5000
811228	-772193
831319	-638769
658092	-884489
263085	-832897
-83704	699053
-632002	227220
-942799	68655
-921496	-212450
772796	-502567
-131390	841600
-884543	-119143
641198	-3592
736252	880538
33921	-275244
423204	-73530
-27656	924063
742420	-758372
411749	212855
904416	187014
480790	819659
420491	89631
931093	847403
-472586	-607267
221302	-467372
-90713	726150
-959527	-801688
-265755	-406789
659754	-341998
-233568	123362
-884013	759884
-461246	241008
303750	-670282
-639823	-844128
188293	-137627
-165615	-464706
992387	796813
85907	356365
639533	-410486
-429651	-216355
-517598	286998
-563648	719798
-905276	636782
-71317	-51338
991675	193476
-73743	311423
500775	650512
-595432	945978
563455	430218
713084	-813879
-991430	-322731
425332	611812
701488	-541457
-686683	706078
-690091	-128371
-268726	509837
-864591	-551291
100128	-403117
-351546	-851005
-132973	-260807
125248	-284501
-534193	-835895
-922121	-608393
-616886	-49766
-541293	-771951
-212288	579028
-288462	-675595
-4160	953823
683339	34300
-694558	-923992
642079	-697037
101087	82177
267656	-76242
53116	350940
450165	-687229
21480	-130605
863441	416217
297952	-444707
460806	93213
372002	243703
-828382	-927694
514497	-461269
-855546	-729844
903487	633960
620225	-799238
169960	-22414
-792067	-764849
-397234	811609
693103	-130297
986050	-402267
837036	604425
-794266	805356
-144987	88526
-242170	160789
180959	-600758
-548711	383469
-235828	-88988
-436350	719204
-512991	-562476
703505	-977834
170059	-735669
229341	-574141
576424	448983
-319822	617731
94760	153945
247591	-281942
-876020	132703
-548316	-721928
-535932	-462863
-359206	216974
-474310	-423869
-144045	51397
-709471	-781429
556549	-116200
-485091	-927746
54992	-252830
-893189	790363
-911580	-916680
964105	-548820
-55778	-230207
-87901	-926711
-217384	-401537
972906	41510
756407	-31352
-456878	-304085
400967	-356004
70688	-587273
733615	-675383
-315116	585533
-649865	867924
-476141	-821530
-784274	409391
-678333	-380730
-344454	6804
903521	-566540
22992	-654001
-542821	775157
-740937	-888049
492681	-976447
-317504	-960418
601687	-478179
219016	-900633
-688230	552308
-481531	362635
-848601	140857
609817	764786
-130268	445238
-659147	-684252
532677	-288221
266980	-240310
872809	-881592
-739321	208349
719642	-788756
-741857	836994
471591	-584158
-513424	-961783
-36776	-378408
-839417	450146
957391	-489278
855730	165344
-626142	-474821
-594741	663442
-245625	-836005
-612742	-786460
583468	8218
-585039	-904008
-351934	-386000
266014	968399
-86039	543360
692108	-150795
-831656	-176395
608514	-71054
320789	695561
249486	444037
630413	864547
815165	-544149
-639212	118887
-213233	-295122
-8654	-318556
-494760	-943866
294072	882130
464341	889381
-158833	405830
-533904	90344
250885	-65028
200045	-849116
-807416	657793
-892022	-969891
-143739	421759
108093	-358474
-883533	711170
-833063	-296816
-865338	-558763
-912281	932457
486343	-493497
303859	28189
649757	-203381
-10614	-643851
862675	217787
-876691	523363
135271	-7361
263116	-847261
-490768	-236465
-42127	549580
460759	652224
559715	-50650
41785	474299
-256579	340086
-994359	607931
474211	915244
306834	-60107
-33071	-723149
935471	-673724
-870057	743086
-570463	-974515
-493752	-399489
-199107	-142442
-696437	-204212
-861406	940928
285503	-546897
813539	-242982
984351	-949845
613866	-315141
247489	-331029
217592	864382
-960454	-75841
-723426	-95427
212667	-623787
668605	532050
-64	-3657
124772	-500339
615472	631961
-92545	-198416
-226119	-472997
-774761	-762361
502527	-634203
930749	424114
-351895	-901098
-355102	-629965
-862155	-416595
668645	734625
-801329	314538
972420	-725753
-142117	-342735
-523412	-131655
288733	443152
677368	48802
-138599	918419
-766577	-488645
-414272	394696
-127632	-412197
222094	251891
28377	-901140
937633	336132
276436	502074
-922678	610272
-498301	-482870
-226963	-304029
983205	-322891
-915719	534298
-130725	340695
124391	461035
-721312	525022
784433	735923
583539	636108
-871608	919461
86855	709207
-481189	599353
796518	-467697
-66709	-962029
-770133	363866
618916	-595516
-383910	95827
-828440	-128073
45172	512248
170175	853356
38428	-271492
168658	935159
-714447	-371831
966355	272001
605983	803826
-84197	134533
-546390	-819488
-483174	159545
26423	755167
-470045	971962
-885715	684139
491039	591632
-935477	-804439
-516066	335070
861943	-52459
-978	-272837
162863	729708
454581	837480
722695	833281
983763	-191803
-811051	-733457
279039	-862701
-426886	-240061
-296123	275897
-83352	396971
429321	-50935
-729050	-137528
-308093	-878929
-753850	12123
763678	191181
333567	-349084
528417	113422
-15167	-555619
247235	-153566
691943	-651029
-895689	-869091
-586822	-910214
-158045	494054
260882	461695
-850093	-894442
-475586	-650741
496248	638610
762648	52342
-534140	-593511
-964810	-485778
196788	-674817
793621	962345
-525248	758034
-93272	668574
-600895	-100690
936571	-189561
462446	-170292
